time,1m_open,1m_high,1m_low,1m_close,5m_open,5m_high,5m_low,5m_close,15m_open,15m_high,15m_low,15m_close
2026-04-14 13:59:00,2392.24,2393.59,2390.59,2392.66,2391.09,2394.04,2389.37,2392.66,2390.31,2394.05,2385.37,2392.66
2026-04-14 14:00:00,2392.64,2395.09,2387.67,2389.5,2392.64,2395.09,2383.57,2387.11,2392.64,2395.09,2378.92,2384.2
2026-04-14 14:01:00,2389.39,2392.15,2386.05,2388.38,2392.64,2395.09,2383.57,2387.11,2392.64,2395.09,2378.92,2384.2
2026-04-14 14:02:00,2388.33,2388.58,2385.92,2386.5,2392.64,2395.09,2383.57,2387.11,2392.64,2395.09,2378.92,2384.2
2026-04-14 14:03:00,2386.64,2390.04,2383.57,2387.88,2392.64,2395.09,2383.57,2387.11,2392.64,2395.09,2378.92,2384.2
2026-04-14 14:04:00,2387.68,2389.17,2386.8,2387.11,2392.64,2395.09,2383.57,2387.11,2392.64,2395.09,2378.92,2384.2
2026-04-14 14:05:00,2387.35,2388.75,2386.14,2388.34,2387.35,2391.3,2378.92,2383.94,2392.64,2395.09,2378.92,2384.2
2026-04-14 14:06:00,2388.39,2391.22,2385.01,2391.22,2387.35,2391.3,2378.92,2383.94,2392.64,2395.09,2378.92,2384.2
2026-04-14 14:07:00,2391.18,2391.3,2387.32,2389.18,2387.35,2391.3,2378.92,2383.94,2392.64,2395.09,2378.92,2384.2
2026-04-14 14:08:00,2388.98,2388.98,2378.92,2381.89,2387.35,2391.3,2378.92,2383.94,2392.64,2395.09,2378.92,2384.2
2026-04-14 14:09:00,2381.92,2384.54,2381.24,2383.94,2387.35,2391.3,2378.92,2383.94,2392.64,2395.09,2378.92,2384.2
2026-04-14 14:10:00,2383.89,2384.9,2381.32,2383.37,2383.89,2385.48,2381.32,2384.2,2392.64,2395.09,2378.92,2384.2
2026-04-14 14:11:00,2383.37,2384.06,2381.54,2382.66,2383.89,2385.48,2381.32,2384.2,2392.64,2395.09,2378.92,2384.2
2026-04-14 14:12:00,2382.62,2383.11,2381.64,2381.65,2383.89,2385.48,2381.32,2384.2,2392.64,2395.09,2378.92,2384.2
2026-04-14 14:13:00,2381.6,2385.36,2381.59,2385.17,2383.89,2385.48,2381.32,2384.2,2392.64,2395.09,2378.92,2384.2
2026-04-14 14:14:00,2385.44,2385.48,2383.6,2384.2,2383.89,2385.48,2381.32,2384.2,2392.64,2395.09,2378.92,2384.2
2026-04-14 14:15:00,2384.14,2384.14,2381.37,2381.58,2384.14,2387.41,2381.11,2382.56,2384.14,2395.31,2381.11,2393.25
2026-04-14 14:16:00,2381.58,2385.19,2381.28,2385.19,2384.14,2387.41,2381.11,2382.56,2384.14,2395.31,2381.11,2393.25
2026-04-14 14:17:00,2385.23,2387.41,2382.41,2384.43,2384.14,2387.41,2381.11,2382.56,2384.14,2395.31,2381.11,2393.25
2026-04-14 14:18:00,2384.57,2385.12,2381.11,2383.14,2384.14,2387.41,2381.11,2382.56,2384.14,2395.31,2381.11,2393.25
2026-04-14 14:19:00,2383.28,2384.16,2381.8,2382.56,2384.14,2387.41,2381.11,2382.56,2384.14,2395.31,2381.11,2393.25
2026-04-14 14:20:00,2382.63,2386.27,2382.58,2386.27,2382.63,2388.4,2382.58,2385.39,2384.14,2395.31,2381.11,2393.25
2026-04-14 14:21:00,2386.4,2388.24,2384.92,2385.94,2382.63,2388.4,2382.58,2385.39,2384.14,2395.31,2381.11,2393.25
2026-04-14 14:22:00,2385.95,2387.14,2385.17,2386.12,2382.63,2388.4,2382.58,2385.39,2384.14,2395.31,2381.11,2393.25
2026-04-14 14:23:00,2385.86,2388.4,2385.39,2387.89,2382.63,2388.4,2382.58,2385.39,2384.14,2395.31,2381.11,2393.25
2026-04-14 14:24:00,2387.71,2387.85,2383.63,2385.39,2382.63,2388.4,2382.58,2385.39,2384.14,2395.31,2381.11,2393.25
2026-04-14 14:25:00,2385.36,2387.64,2385.36,2386.92,2385.36,2395.31,2385.36,2393.25,2384.14,2395.31,2381.11,2393.25
2026-04-14 14:26:00,2387.02,2393.56,2387.02,2393.29,2385.36,2395.31,2385.36,2393.25,2384.14,2395.31,2381.11,2393.25
2026-04-14 14:27:00,2393.51,2395.31,2390.21,2391.11,2385.36,2395.31,2385.36,2393.25,2384.14,2395.31,2381.11,2393.25
2026-04-14 14:28:00,2391.31,2392.73,2389.52,2391.55,2385.36,2395.31,2385.36,2393.25,2384.14,2395.31,2381.11,2393.25
2026-04-14 14:29:00,2391.51,2393.65,2390.93,2393.25,2385.36,2395.31,2385.36,2393.25,2384.14,2395.31,2381.11,2393.25
2026-04-14 14:30:00,2393.45,2411.42,2392.08,2406.98,2393.45,2418.93,2389.43,2391.63,2393.45,2418.93,2367.26,2372.26
2026-04-14 14:31:00,2406.65,2408.52,2403.3,2407.46,2393.45,2418.93,2389.43,2391.63,2393.45,2418.93,2367.26,2372.26
2026-04-14 14:32:00,2407.46,2418.93,2406.73,2408.9,2393.45,2418.93,2389.43,2391.63,2393.45,2418.93,2367.26,2372.26
2026-04-14 14:33:00,2408.67,2409.93,2399.1,2399.69,2393.45,2418.93,2389.43,2391.63,2393.45,2418.93,2367.26,2372.26
2026-04-14 14:34:00,2399.6,2400.17,2389.43,2391.63,2393.45,2418.93,2389.43,2391.63,2393.45,2418.93,2367.26,2372.26
2026-04-14 14:35:00,2391.91,2394.57,2389.84,2392.81,2391.91,2394.64,2375.56,2378.45,2393.45,2418.93,2367.26,2372.26
2026-04-14 14:36:00,2393.01,2394.64,2391.37,2391.87,2391.91,2394.64,2375.56,2378.45,2393.45,2418.93,2367.26,2372.26
2026-04-14 14:37:00,2391.76,2391.76,2384.74,2385.93,2391.91,2394.64,2375.56,2378.45,2393.45,2418.93,2367.26,2372.26
2026-04-14 14:38:00,2386.3,2387.05,2375.56,2380.8,2391.91,2394.64,2375.56,2378.45,2393.45,2418.93,2367.26,2372.26
2026-04-14 14:39:00,2380.8,2381.06,2378.44,2378.45,2391.91,2394.64,2375.56,2378.45,2393.45,2418.93,2367.26,2372.26
2026-04-14 14:40:00,2378.43,2378.43,2367.26,2369.28,2378.43,2378.43,2367.26,2372.26,2393.45,2418.93,2367.26,2372.26
2026-04-14 14:41:00,2369.34,2374.04,2368.8,2369.82,2378.43,2378.43,2367.26,2372.26,2393.45,2418.93,2367.26,2372.26
2026-04-14 14:42:00,2370.09,2374.73,2370.09,2372.72,2378.43,2378.43,2367.26,2372.26,2393.45,2418.93,2367.26,2372.26
2026-04-14 14:43:00,2373.0,2377.4,2372.99,2375.1,2378.43,2378.43,2367.26,2372.26,2393.45,2418.93,2367.26,2372.26
2026-04-14 14:44:00,2374.93,2376.22,2371.29,2372.26,2378.43,2378.43,2367.26,2372.26,2393.45,2418.93,2367.26,2372.26
2026-04-14 14:45:00,2372.16,2372.99,2367.42,2368.92,2372.16,2375.01,2362.33,2363.49,2372.16,2375.01,2353.75,2353.75
2026-04-14 14:46:00,2369.17,2371.16,2365.4,2370.06,2372.16,2375.01,2362.33,2363.49,2372.16,2375.01,2353.75,2353.75
2026-04-14 14:47:00,2369.82,2375.01,2369.4,2373.92,2372.16,2375.01,2362.33,2363.49,2372.16,2375.01,2353.75,2353.75
2026-04-14 14:48:00,2374.31,2374.53,2369.84,2369.87,2372.16,2375.01,2362.33,2363.49,2372.16,2375.01,2353.75,2353.75
2026-04-14 14:49:00,2370.07,2370.07,2362.33,2363.49,2372.16,2375.01,2362.33,2363.49,2372.16,2375.01,2353.75,2353.75
2026-04-14 14:50:00,2363.49,2366.16,2362.42,2365.2,2363.49,2371.01,2362.42,2367.82,2372.16,2375.01,2353.75,2353.75
2026-04-14 14:51:00,2365.01,2366.34,2363.05,2366.34,2363.49,2371.01,2362.42,2367.82,2372.16,2375.01,2353.75,2353.75
2026-04-14 14:52:00,2366.34,2371.01,2366.34,2368.11,2363.49,2371.01,2362.42,2367.82,2372.16,2375.01,2353.75,2353.75
2026-04-14 14:53:00,2368.27,2368.9,2363.16,2365.08,2363.49,2371.01,2362.42,2367.82,2372.16,2375.01,2353.75,2353.75
2026-04-14 14:54:00,2364.86,2368.29,2364.07,2367.82,2363.49,2371.01,2362.42,2367.82,2372.16,2375.01,2353.75,2353.75
2026-04-14 14:55:00,2367.81,2368.03,2364.51,2366.24,2367.81,2368.03,2353.75,2353.75,2372.16,2375.01,2353.75,2353.75
2026-04-14 14:56:00,2366.48,2367.51,2359.85,2362.79,2367.81,2368.03,2353.75,2353.75,2372.16,2375.01,2353.75,2353.75
2026-04-14 14:57:00,2362.99,2364.52,2361.46,2362.94,2367.81,2368.03,2353.75,2353.75,2372.16,2375.01,2353.75,2353.75
2026-04-14 14:58:00,2362.94,2362.94,2360.17,2360.35,2367.81,2368.03,2353.75,2353.75,2372.16,2375.01,2353.75,2353.75
2026-04-14 14:59:00,2360.32,2361.64,2353.75,2353.75,2367.81,2368.03,2353.75,2353.75,2372.16,2375.01,2353.75,2353.75
2026-04-14 15:00:00,2353.67,2356.07,2346.89,2349.93,2353.67,2359.19,2346.89,2351.65,2353.67,2359.19,2333.46,2342.88
2026-04-14 15:01:00,2349.85,2357.49,2349.85,2354.16,2353.67,2359.19,2346.89,2351.65,2353.67,2359.19,2333.46,2342.88
2026-04-14 15:02:00,2353.97,2359.19,2353.05,2354.26,2353.67,2359.19,2346.89,2351.65,2353.67,2359.19,2333.46,2342.88
2026-04-14 15:03:00,2354.14,2357.84,2352.88,2353.11,2353.67,2359.19,2346.89,2351.65,2353.67,2359.19,2333.46,2342.88
2026-04-14 15:04:00,2353.3,2353.84,2350.14,2351.65,2353.67,2359.19,2346.89,2351.65,2353.67,2359.19,2333.46,2342.88
2026-04-14 15:05:00,2351.61,2351.63,2344.02,2345.32,2351.61,2353.12,2333.46,2340.31,2353.67,2359.19,2333.46,2342.88
2026-04-14 15:06:00,2345.61,2353.12,2345.61,2350.04,2351.61,2353.12,2333.46,2340.31,2353.67,2359.19,2333.46,2342.88
2026-04-14 15:07:00,2349.87,2352.57,2345.09,2345.09,2351.61,2353.12,2333.46,2340.31,2353.67,2359.19,2333.46,2342.88
2026-04-14 15:08:00,2344.9,2347.0,2337.31,2337.83,2351.61,2353.12,2333.46,2340.31,2353.67,2359.19,2333.46,2342.88
2026-04-14 15:09:00,2337.57,2341.51,2333.46,2340.31,2351.61,2353.12,2333.46,2340.31,2353.67,2359.19,2333.46,2342.88
2026-04-14 15:10:00,2340.49,2343.15,2337.67,2341.51,2340.49,2346.23,2337.67,2342.88,2353.67,2359.19,2333.46,2342.88
2026-04-14 15:11:00,2341.56,2346.23,2341.21,2345.66,2340.49,2346.23,2337.67,2342.88,2353.67,2359.19,2333.46,2342.88
2026-04-14 15:12:00,2345.66,2345.66,2338.76,2339.74,2340.49,2346.23,2337.67,2342.88,2353.67,2359.19,2333.46,2342.88
2026-04-14 15:13:00,2339.71,2344.84,2338.72,2344.21,2340.49,2346.23,2337.67,2342.88,2353.67,2359.19,2333.46,2342.88
2026-04-14 15:14:00,2344.42,2345.3,2341.78,2342.88,2340.49,2346.23,2337.67,2342.88,2353.67,2359.19,2333.46,2342.88
2026-04-14 15:15:00,2342.88,2342.89,2340.45,2341.99,2342.88,2345.56,2340.05,2343.91,2342.88,2348.67,2339.92,2341.65
2026-04-14 15:16:00,2341.93,2343.32,2340.05,2340.3,2342.88,2345.56,2340.05,2343.91,2342.88,2348.67,2339.92,2341.65
2026-04-14 15:17:00,2340.14,2345.56,2340.14,2344.82,2342.88,2345.56,2340.05,2343.91,2342.88,2348.67,2339.92,2341.65
2026-04-14 15:18:00,2344.82,2345.48,2342.41,2344.24,2342.88,2345.56,2340.05,2343.91,2342.88,2348.67,2339.92,2341.65
2026-04-14 15:19:00,2344.03,2344.03,2340.61,2343.91,2342.88,2345.56,2340.05,2343.91,2342.88,2348.67,2339.92,2341.65
2026-04-14 15:20:00,2344.01,2344.4,2341.06,2342.19,2344.01,2348.67,2339.92,2347.07,2342.88,2348.67,2339.92,2341.65
2026-04-14 15:21:00,2342.27,2345.16,2342.27,2344.91,2344.01,2348.67,2339.92,2347.07,2342.88,2348.67,2339.92,2341.65
2026-04-14 15:22:00,2345.11,2346.04,2339.92,2340.4,2344.01,2348.67,2339.92,2347.07,2342.88,2348.67,2339.92,2341.65
2026-04-14 15:23:00,2340.45,2343.24,2340.2,2342.89,2344.01,2348.67,2339.92,2347.07,2342.88,2348.67,2339.92,2341.65
2026-04-14 15:24:00,2342.81,2348.67,2341.37,2347.07,2344.01,2348.67,2339.92,2347.07,2342.88,2348.67,2339.92,2341.65
2026-04-14 15:25:00,2347.27,2348.24,2346.03,2347.94,2347.27,2348.45,2341.49,2341.65,2342.88,2348.67,2339.92,2341.65
2026-04-14 15:26:00,2347.7,2348.45,2346.13,2347.82,2347.27,2348.45,2341.49,2341.65,2342.88,2348.67,2339.92,2341.65
2026-04-14 15:27:00,2347.65,2348.01,2345.18,2345.6,2347.27,2348.45,2341.49,2341.65,2342.88,2348.67,2339.92,2341.65
2026-04-14 15:28:00,2345.82,2345.92,2343.46,2343.46,2347.27,2348.45,2341.49,2341.65,2342.88,2348.67,2339.92,2341.65
2026-04-14 15:29:00,2343.56,2343.78,2341.49,2341.65,2347.27,2348.45,2341.49,2341.65,2342.88,2348.67,2339.92,2341.65
2026-04-14 15:30:00,2341.59,2344.83,2341.0,2344.3,2341.59,2357.46,2341.0,2356.69,2341.59,2367.75,2341.0,2366.59
2026-04-14 15:31:00,2344.24,2347.36,2343.67,2347.36,2341.59,2357.46,2341.0,2356.69,2341.59,2367.75,2341.0,2366.59
2026-04-14 15:32:00,2347.33,2352.44,2347.17,2351.9,2341.59,2357.46,2341.0,2356.69,2341.59,2367.75,2341.0,2366.59
2026-04-14 15:33:00,2352.03,2354.62,2352.03,2352.84,2341.59,2357.46,2341.0,2356.69,2341.59,2367.75,2341.0,2366.59
2026-04-14 15:34:00,2352.78,2357.46,2352.33,2356.69,2341.59,2357.46,2341.0,2356.69,2341.59,2367.75,2341.0,2366.59
2026-04-14 15:35:00,2356.7,2359.53,2354.06,2358.53,2356.7,2363.81,2354.06,2360.51,2341.59,2367.75,2341.0,2366.59
2026-04-14 15:36:00,2358.48,2360.31,2355.94,2360.23,2356.7,2363.81,2354.06,2360.51,2341.59,2367.75,2341.0,2366.59
2026-04-14 15:37:00,2359.95,2363.81,2359.95,2360.24,2356.7,2363.81,2354.06,2360.51,2341.59,2367.75,2341.0,2366.59
2026-04-14 15:38:00,2360.18,2361.37,2359.56,2360.63,2356.7,2363.81,2354.06,2360.51,2341.59,2367.75,2341.0,2366.59
2026-04-14 15:39:00,2360.62,2361.14,2358.88,2360.51,2356.7,2363.81,2354.06,2360.51,2341.59,2367.75,2341.0,2366.59
2026-04-14 15:40:00,2360.33,2361.01,2359.55,2359.55,2360.33,2367.75,2359.5,2366.59,2341.59,2367.75,2341.0,2366.59
2026-04-14 15:41:00,2359.5,2362.82,2359.5,2362.82,2360.33,2367.75,2359.5,2366.59,2341.59,2367.75,2341.0,2366.59
2026-04-14 15:42:00,2362.82,2364.56,2361.8,2363.71,2360.33,2367.75,2359.5,2366.59,2341.59,2367.75,2341.0,2366.59
2026-04-14 15:43:00,2363.75,2367.75,2363.57,2366.63,2360.33,2367.75,2359.5,2366.59,2341.59,2367.75,2341.0,2366.59
2026-04-14 15:44:00,2366.08,2367.21,2363.77,2366.59,2360.33,2367.75,2359.5,2366.59,2341.59,2367.75,2341.0,2366.59
2026-04-14 15:45:00,2366.81,2368.82,2364.07,2367.08,2366.81,2368.82,2361.89,2364.98,2366.81,2372.8,2361.89,2365.05
2026-04-14 15:46:00,2366.87,2368.61,2364.53,2364.97,2366.81,2368.82,2361.89,2364.98,2366.81,2372.8,2361.89,2365.05
2026-04-14 15:47:00,2364.93,2364.93,2361.89,2363.11,2366.81,2368.82,2361.89,2364.98,2366.81,2372.8,2361.89,2365.05
2026-04-14 15:48:00,2362.96,2364.46,2362.77,2364.36,2366.81,2368.82,2361.89,2364.98,2366.81,2372.8,2361.89,2365.05
2026-04-14 15:49:00,2364.64,2365.76,2363.84,2364.98,2366.81,2368.82,2361.89,2364.98,2366.81,2372.8,2361.89,2365.05
